"","sens","spec","ppv","npv"
"FDG_SUV",0.675675675675676,0.865979381443299,0.657894736842105,0.875
"FDG_STAR",0.735294117647059,0.80952380952381,0.675675675675676,0.85
"FDG_NTR",0.558823529411765,0.926829268292683,0.76,0.835164835164835
"FEC_SUV",0.625,0.857142857142857,0.588235294117647,0.875
"FEC_STAR",0.714285714285714,0.642857142857143,0.5,0.818181818181818
"FEC_NTR",0.625,0.692307692307692,0.454545454545455,0.818181818181818
"ADC",0.736842105263158,0.525862068965517,0.337349397590361,0.859154929577465
"ADC_NTR",0.903225806451613,0.2125,0.307692307692308,0.85
"VIS_FDG",0.72972972972973,0.896907216494845,0.72972972972973,0.896907216494845
"VIS_FEC",0.5,0.897959183673469,0.615384615384615,0.846153846153846
"VIS_MRI",0.605263157894737,0.913793103448276,0.696969696969697,0.87603305785124
