"","acc","rmse","f1","auc","sens","spec","fnr","fpr","plr","nlr"
"1",0.775,0.423345074218625,0.64,0.85989010989011,0.571428571428571,0.884615384615385,0.428571428571429,0.115384615384615,4.95238095238095,0.484472049689441
"2",0.725,0.411237481240325,0.521739130434783,0.810344827586207,0.545454545454545,0.793103448275862,0.454545454545455,0.206896551724138,2.63636363636364,0.573122529644269
"3",0.8,0.362543686253989,0.733333333333333,0.908,0.733333333333333,0.84,0.266666666666667,0.16,4.58333333333333,0.317460317460318
"4",0.85,0.33707253302092,0.666666666666667,0.910394265232975,0.666666666666667,0.903225806451613,0.333333333333333,0.0967741935483871,6.88888888888889,0.369047619047619
"5",0.725,0.478109543941413,0.421052631578947,0.80952380952381,0.333333333333333,0.892857142857143,0.666666666666667,0.107142857142857,3.11111111111111,0.746666666666667
"6",0.875,0.368609865670837,0.782608695652174,0.89031339031339,0.692307692307692,0.962962962962963,0.307692307692308,0.0370370370370371,18.6923076923077,0.319526627218935
"7",0.75,0.418543180847926,0.545454545454545,0.786324786324786,0.461538461538462,0.888888888888889,0.538461538461538,0.111111111111111,4.15384615384615,0.605769230769231
"8",0.775,0.360897940930091,0.608695652173913,0.853046594982079,0.777777777777778,0.774193548387097,0.222222222222222,0.225806451612903,3.44444444444444,0.287037037037037
"9",0.8,0.36200093515358,0.636363636363636,0.897321428571429,0.583333333333333,0.892857142857143,0.416666666666667,0.107142857142857,5.44444444444445,0.466666666666667
"10",0.775,0.418751101933951,0.608695652173913,0.798076923076923,0.5,0.923076923076923,0.5,0.0769230769230769,6.5,0.541666666666667
"11",0.8,0.343629000299698,0.5,0.865234375,0.5,0.875,0.5,0.125,4,0.571428571428571
"12",0.825,0.335309363615883,0.631578947368421,0.9,0.6,0.9,0.4,0.1,6,0.444444444444444
"13",0.85,0.378900497508227,0.727272727272727,0.90922619047619,0.666666666666667,0.928571428571429,0.333333333333333,0.0714285714285714,9.33333333333334,0.358974358974359
"14",0.75,0.403601986867607,0.545454545454545,0.825892857142857,0.5,0.857142857142857,0.5,0.142857142857143,3.5,0.583333333333333
"15",0.925,0.276861089668306,0.823529411764706,0.976702508960573,0.777777777777778,0.967741935483871,0.222222222222222,0.032258064516129,24.1111111111111,0.22962962962963
"16",0.775,0.347932967512345,0.571428571428571,0.793333333333333,0.6,0.833333333333333,0.4,0.166666666666667,3.6,0.48
"17",0.925,0.277486451091836,0.869565217391304,0.962797619047619,0.833333333333333,0.964285714285714,0.166666666666667,0.0357142857142857,23.3333333333333,0.172839506172839
"18",0.85,0.323189765461125,0.727272727272727,0.939068100358423,0.888888888888889,0.838709677419355,0.111111111111111,0.161290322580645,5.51111111111111,0.132478632478633
"19",0.8,0.356212545024705,0.555555555555556,0.776666666666667,0.5,0.9,0.5,0.1,5,0.555555555555556
"20",0.9,0.290306674394099,0.8,0.963333333333333,0.8,0.933333333333333,0.2,0.0666666666666667,12,0.214285714285714
"21",0.85,0.33868673759215,0.7,0.946708463949843,0.636363636363636,0.931034482758621,0.363636363636364,0.0689655172413793,9.22727272727272,0.390572390572391
"22",0.875,0.340683720430104,0.814814814814815,0.933048433048433,0.846153846153846,0.888888888888889,0.153846153846154,0.111111111111111,7.61538461538461,0.173076923076923
"23",0.875,0.338779063429566,0.814814814814815,0.93956043956044,0.785714285714286,0.923076923076923,0.214285714285714,0.0769230769230769,10.2142857142857,0.232142857142857
"24",0.75,0.373193505590212,0.545454545454545,0.807210031347962,0.545454545454545,0.827586206896552,0.454545454545455,0.172413793103448,3.16363636363636,0.549242424242424
"25",0.775,0.406720371758355,0.608695652173913,0.847578347578348,0.538461538461538,0.888888888888889,0.461538461538462,0.111111111111111,4.84615384615384,0.519230769230769
